compound_id_A,compound_name_A,compound_id_B,compound_name_B,synergy_score,synergy_type,shared_target,interaction_mechanism,combined_application,effect_enhancement_estimate
CS001,Kaempferol,CS004,Chrysophanol,0.81,additive_antifungal,CYP3A4,Membrane_disruption_plus_NF-kB_inhibition,Topical_antifungal_formulation,1.4x_vs_either_alone
CS002,Quercetin,CS006,Luteolin,0.87,synergistic_anti-neuroinflammatory,NF-kB|IL-6,Dual_NF-kB_plus_IL-6_cytokine_suppression,Anti-neuroinflammatory_combination,1.7x_vs_either_alone
CS003,Aloe-emodin,CS007,Emodin,0.74,additive_antiviral,CYP1A2|MAPK,NS5B_plus_RdRp_dual_RNA_polymerase_inhibition,Antiviral_bark_extract,1.3x_vs_either_alone
CS004,Chrysophanol,CS001,Kaempferol,0.81,additive_antifungal,CYP3A4,Membrane_disruption_plus_flavonoid_AChE,Topical_antifungal_formulation,1.4x_vs_either_alone
CS005,Rhein,CS008,Apigenin,0.69,moderate_antifungal,CYP2D6|CYP1B1,COX-1_plus_GABA-A_dual_action,Anti-inflammatory_analgesic,1.2x_vs_either_alone
CS006,Luteolin,CS002,Quercetin,0.87,synergistic_anti-neuroinflammatory,NF-kB|IL-6,Dual_cytokine_suppression_cascade,Anti-neuroinflammatory,1.7x_vs_either_alone
CS007,Emodin,CS003,Aloe-emodin,0.74,additive_antiviral,MAPK|CYP1A2,Tau_plus_TNF-alpha_dual_suppression,Antiviral_neuroprotective,1.3x_vs_either_alone
CS008,Apigenin,CS005,Rhein,0.69,moderate_antifungal,CYP1B1|CYP2D6,GABA-A_plus_COX-1,Anxiolytic_antifungal,1.2x_vs_either_alone
CS009,Kaempferide,CS010,Naringenin,0.55,weak_antifungal,CYP3A4|CYP2C8,Methoxyflavonoid_plus_flavanone,Antifungal_metabolic,1.1x_vs_either_alone
CS010,Naringenin,CS009,Kaempferide,0.55,weak_antifungal,CYP2C8|CYP3A4,AMPK_plus_CYP3A4_flavonoid,Hypoglycaemic_antifungal,1.1x_vs_either_alone
CS011,Physcion,CS012,Barbaloin,0.63,moderate_hepatoprotective,CYP1A1|P-gp,NS3_plus_NLRP3_dual_inhibition,Hepatoprotective_antiviral,1.2x_vs_either_alone
CS012,Barbaloin,CS011,Physcion,0.63,moderate_hepatoprotective,P-gp|CYP1A1,NLRP3_plus_SOD1_dual_antioxidant,Anti-inflammatory_antioxidant,1.2x_vs_either_alone
CS013,Vitexin,CS014,Isovitexin,0.76,synergistic_neuroprotective,mTOR|PI3K,Nrf2_plus_GSK-3beta_dual_neuroprotection,CNS_neuroprotective_blend,1.5x_vs_either_alone
CS014,Isovitexin,CS013,Vitexin,0.76,synergistic_neuroprotective,PI3K|mTOR,GSK-3beta_plus_Nrf2_tau_reduction,CNS_neuroprotective_blend,1.5x_vs_either_alone
CS015,Cassiaside,CS016,Sennoside_A,0.58,weak_purgative,ERK|MRP2,ERK_disruption_plus_prodrug_activation,Antifungal_purgative,1.1x_vs_either_alone
CS016,Sennoside_A,CS015,Cassiaside,0.58,weak_purgative,MRP2|ERK,Prodrug_plus_ERK_disruption,Purgative_antifungal,1.1x_vs_either_alone
CS017,Obtusifolin,CS018,Rubrofusarin,0.66,moderate_antiviral,AKT|HSP90,Mpro_dual_docking_different_binding_modes,Antiviral_hypoglycaemic,1.2x_vs_either_alone
CS018,Rubrofusarin,CS017,Obtusifolin,0.66,moderate_antiviral,HSP90|AKT,HSP90_chaperone_plus_Mpro_active_site,Antiviral_hepatoprotective,1.2x_vs_either_alone
CS019,Quercetin_3_glucoside,CS020,Kaempferol_3_glucoside,0.82,synergistic_hepatoprotective,SIRT1|SIRT3,Dual_compartment_sirtuin_cytoplasmic_plus_mitochondrial,Hepatoprotective_antioxidant,1.6x_vs_either_alone
CS020,Kaempferol_3_glucoside,CS019,Quercetin_3_glucoside,0.82,synergistic_hepatoprotective,SIRT3|SIRT1,Mitochondrial_plus_cytoplasmic_sirtuin_activation,Hepatoprotective_neuroprotective,1.6x_vs_either_alone
