compound_id,compound_name,iupac_name,smiles,compound_class,class_label,plant_part,formula,molecular_weight_Da,logP,hbd,hba,tpsa_angstrom2,rotatable_bonds,aromatic_rings,total_rings,heavy_atoms,antifungal_ic50_uM,antiinflam_ic50_uM,neuroprotective_0to1,antiviral_0to1,hepatoprotective_0to1,hypoglycaemic_0to1,synergy_partner_id,synergy_score,metabolic_target,neuro_target,viral_target,lipinski_violations,veber_pass,traditional_use,validated_activity,notes
CS001,Kaempferol,"3,5,7,4-tetrahydroxyflavone",O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,flavonoid,Flavonol,Leaves,C15H10O6,286.24,1.9,4,6,111.0,1,3,3,21,12.4,8.7,0.72,0.41,0.45,0.20,CS004,0.81,CYP3A4,AChE,COX-2,1,FALSE,CNS_depressant|antifungal|anti-inflammatory,Confirmed,Major leaf flavonoid; AChE inhibition corroborates CNS-depressant use
CS002,Quercetin,"3,3',4',5,7-pentahydroxyflavone",O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,flavonoid,Flavonol,"Seeds,Leaves",C15H10O7,302.24,1.5,5,7,128.0,1,3,3,22,9.8,6.2,0.79,0.55,0.88,0.30,CS006,0.87,CYP2C9,BACE1,IL-6,2,FALSE,hepatoprotective|antioxidant|anti-inflammatory,Confirmed,Key contributor to seed TPC 100.99 mg GAE/g; highest hepatoprotective score 0.88
CS003,Aloe-emodin,1-8-dihydroxy-3-(hydroxymethyl)anthraquinone,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,anthraquinone,Anthraquinone,Bark,C15H10O5,270.24,1.8,3,5,94.8,1,3,3,20,6.3,14.2,0.45,0.68,0.30,0.15,CS007,0.74,CYP1A2,TNF-alpha,NS5B,0,TRUE,purgative|antimicrobial|antiviral,Confirmed,Most potent antifungal anthraquinone IC50 6.3uM; NS5B inhibitor
CS004,Chrysophanol,1-8-dihydroxy-3-methylanthraquinone,Cc1cc(O)c2C(=O)c3cccc(O)c3C(=O)c2c1,anthraquinone,Anthraquinone,Bark,C15H10O4,254.24,2.6,2,4,74.6,1,3,3,19,18.2,5.1,0.31,0.44,0.20,0.10,CS001,0.81,CYP3A4,NF-kB,None,0,TRUE,antifungal|purgative,Confirmed,MIC 6.25 mg/mL vs A.niger; lowest TPSA 74.6 = best membrane penetration
CS005,Rhein,"4,5-dihydroxy-9,10-dioxoanthracene-2-carboxylic acid",O=C(O)c1ccc2C(=O)c3cccc(O)c3C(=O)c2c1O,anthraquinone,Anthraquinone,"Bark,Pods",C15H8O6,284.22,2.1,3,6,100.4,2,3,3,21,22.1,9.8,0.52,0.39,0.25,0.15,CS008,0.69,CYP2D6,COX-1,None,1,TRUE,antifungal|analgesic|anti-inflammatory,Confirmed,Unique COOH group; ionises at pH 7.4; COX-1 inhibition = analgesic
CS006,Luteolin,"3',4',5,7-tetrahydroxyflavone",O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,flavonoid,Flavone,Aerial Parts,C15H10O6,286.24,2.1,4,6,111.0,1,3,3,21,15.7,7.4,0.83,0.62,0.40,0.25,CS002,0.87,NF-kB,APP,IL-1B,1,FALSE,CNS_depressant|anti-neuroinflammatory|antiviral,Confirmed,Highest neuroprotective score 0.83 in flavone class; APP modulation
CS007,Emodin,1-3-8-trihydroxy-6-methylanthraquinone,Cc1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1O,anthraquinone,Anthraquinone,Bark,C15H10O5,270.24,2.3,3,5,94.8,1,3,3,19,10.5,11.3,0.58,0.77,0.35,0.20,CS003,0.74,MAPK,Tau kinase,RdRp,0,TRUE,purgative|antiviral|neuroprotective,Confirmed,Highest antiviral score 0.77 in anthraquinone class; RdRp inhibitor
CS008,Apigenin,"4',5,7-trihydroxyflavone",O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,flavonoid,Flavone,Flowers,C15H10O5,270.24,2.6,3,5,90.9,1,3,3,20,20.3,5.9,0.67,0.33,0.30,0.20,CS005,0.69,CYP1B1,GABA-A,None,0,TRUE,CNS_depressant|anxiolytic|antifungal,Confirmed,GABA-A positive modulation validates CNS-depressant flower use
CS009,Kaempferide,"5,7-dihydroxy-3-hydroxy-4'-methoxyflavone",COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,flavonoid,Methoxyflavonol,Leaves,C16H12O6,300.27,2.4,3,6,100.9,2,3,3,22,25.6,4.2,0.28,0.21,0.15,0.10,CS010,0.55,CYP3A4,AChE,None,1,FALSE,antifungal|skin_infections,Confirmed,Methoxylation improves membrane permeability; selective antifungal
CS010,Naringenin,"4',5,7-trihydroxyflavanone",O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,flavanone,Flavanone,"Fruits,Bark",C15H12O5,272.25,2.1,3,5,86.9,1,2,3,20,31.2,12.6,0.44,0.48,0.35,0.75,CS009,0.55,CYP2C8,AMPK,None,0,TRUE,hypoglycaemic|antidiabetic|anti-inflammatory,Confirmed,Highest hypoglycaemic score 0.75; AMPK activation; unique puckered C-ring
CS011,Physcion,1-8-dihydroxy-3-methoxy-6-methylanthraquinone,COc1cc(O)c2C(=O)c3cccc(O)c3C(=O)c2c1,anthraquinone,Methoxy-Anthraquinone,Bark,C16H12O5,284.27,2.9,2,5,84.6,2,3,3,21,14.8,7.7,0.39,0.56,0.60,0.15,CS012,0.63,CYP1A1,SOD1,NS3 protease,0,TRUE,antiviral|hepatoprotective|antioxidant,Confirmed,NS3 flavivirus protease inhibitor; SOD1 upregulation for hepatoprotection
CS012,Barbaloin,10-glucopyranosyl-1-8-dihydroxyanthracen-9(10H)-one,OCC1OC(c2c(O)cc(O)c3C(=O)c4cccc(O)c4C3=O)C(O)C(O)C1O,anthraquinone_glycoside,Anthraquinone Glycoside,"Bark,Leaves",C21H22O9,418.36,0.5,8,11,183.5,3,3,4,30,8.9,16.4,0.61,0.51,0.40,0.20,CS011,0.63,P-glycoprotein,NLRP3 inflammasome,None,3,FALSE,purgative|anti-inflammatory|anthelmintic,Confirmed,NLRP3 inhibition; prodrug activated by gut bacteria; anthelmintic
CS013,Vitexin,8-C-glucosylapigenin,OCC1OC(c2oc3cc(O)cc(O)c3c(=O)c2-c2ccc(O)cc2)C(O)C(O)C1O,flavone_glycoside,Flavone C-glycoside,Aerial Parts,C21H20O10,432.38,0.1,8,11,190.3,3,3,4,33,18.6,10.2,0.71,0.40,0.45,0.30,CS014,0.76,mTOR,Nrf2,None,3,FALSE,CNS_depressant|neuroprotective|antioxidant,Confirmed,C-glycoside metabolically stable; mTOR/Nrf2 dual neuroprotection
CS014,Isovitexin,6-C-glucosylapigenin,OCC1OC(c2oc3cc(O)cc(O)c3c(=O)c2-c2ccc(O)cc2)C(O)C(O)C1O,flavone_glycoside,Flavone C-glycoside,Aerial Parts,C21H20O10,432.38,0.1,8,11,190.3,3,3,4,33,16.9,11.4,0.68,0.37,0.40,0.25,CS013,0.76,PI3K,GSK-3beta,None,3,FALSE,CNS_depressant|Alzheimers_relevant|neuroprotective,Confirmed,GSK-3beta inhibition prevents tau phosphorylation; positional isomer of vitexin
